NMec = 95584
T = 37
P = 5
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.980e+01
Task data
    0  72 15999 0
    1   9  1347 1
    2  22  3207 2
    3  38  6577 -1
    3  71 12309 -1
    5  62 13792 3
    8  34  3249 -1
    9  25  4252 4
   14  25  1186 -1
   14  27  1612 -1
   15  17   313 -1
   15  40  5229 1
   16  29  1696 -1
   16  31  1760 -1
   16  32  2344 -1
   17  20   348 -1
   23  34  2977 2
   23  34  1392 -1
   24  34  1438 -1
   24  35  1276 -1
   24  40  1912 -1
   29  52  2831 -1
   34  53  2622 -1
   35  39   559 -1
   36  45  1114 2
   36  71  4958 -1
   39  42   365 4
   42  57  1925 -1
   44  61  2523 -1
   45  51  1244 1
   49  65  4265 2
   50  71  4280 4
   51  61  1555 -1
   51  71  1955 -1
   52  69  2958 1
   54  65   934 -1
   61  68   871 -1
Best profit: 61029
End
