NMec = 95584
T = 39
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 7.441e+01
Task data
    3  21  1802 0
    4  14  1821 -1
   23  36  1427 -1
   25  32  1764 0
   31  41  3088 1
   39  57  3706 -1
   41 145 16079 0
   45  54  1692 1
   46  55   876 -1
   48  54  1393 -1
   54  62  1732 -1
   56  62   573 -1
   62  89  4991 1
   66  68   291 -1
   77  92  2593 -1
   78  89  2035 -1
   78  99  2280 -1
   89  96  1232 -1
   90  98   901 -1
   90 101  1176 -1
   91 114  2350 -1
   92 105  3286 1
   97 111  2415 -1
   99 111  3122 -1
  107 116   972 -1
  107 120  3673 1
  111 120  1277 -1
  111 124  2885 -1
  111 131  2033 -1
  114 120  1017 -1
  124 130   930 1
  124 132  1633 -1
  128 147  3717 -1
  131 144  2124 1
  152 160   902 0
  156 168  1378 1
  165 174  1012 0
  174 180  1002 -1
  186 194   964 -1
Best profit: 42721
End
