NMec = 95584
T = 37
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 8.308e+02
Task data
    2 368 43275 -1
    3  25  4626 0
    7  27  3731 -1
    9  19  1442 -1
   14  30  2596 -1
   21  39  2122 -1
   25  42  1980 -1
   26  35  1212 0
   35  38   715 -1
   39  53  1739 -1
   47  62  2207 0
   63  89  2805 -1
   66  70  1190 0
   68  90  5704 -1
   73  78   827 0
   82  93  3002 0
   88  97   778 -1
  125 134  1088 0
  146 169  6020 0
  173 182  1203 -1
  174 186  1565 0
  174 192  1731 -1
  177 192  1581 -1
  184 223  5226 -1
  187 193   652 0
  194 204  1542 0
  205 221  3307 0
  212 237  2256 -1
  234 248  1595 0
  246 256  2010 -1
  252 280  3339 0
  274 297  3944 -1
  284 288   563 -1
  286 305  2992 0
  296 313  3946 -1
  313 320   892 -1
  347 357  1555 0
Best profit: 36719
End
