NMec = 95584
T = 37
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 2.946e+01
Task data
    2  24  5704 0
    3  15  2529 1
    4  23  4384 -1
    6  17  1682 -1
    6 120 18895 2
    8  25  2010 -1
   12  24  1011 -1
   15  24  2509 -1
   15  37  4626 -1
   16  31  2443 -1
   22  28   639 -1
   24  34  1267 -1
   26  40  2741 0
   27  49  2529 1
   30  45  1581 -1
   33  35   280 -1
   43  61  2203 0
   52  66  1770 -1
   53  68  2098 -1
   56  64  1083 -1
   56  69  3502 1
   56  75  2613 -1
   57  66  1040 -1
   58  78  2233 -1
   63  76  1523 -1
   66  76  2617 0
   68  72   563 -1
   68  75   970 -1
   68  83  2394 -1
   75  82  1103 -1
   75  95  2339 1
   77  89  2310 0
   78  93  2207 -1
   86 113  3369 -1
   95 108  1215 0
  101 116  2855 1
  107 115  1273 -1
Best profit: 49439
End
