NMec = 95584
T = 39
P = 5
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.914e+01
Task data
    0   4   963 0
    0  19  3035 1
    2  13  1175 -1
    2  76 13599 2
    4  20  2883 -1
    4  20  1820 3
    7  24  2979 0
    8  75 13524 4
    9  57  7111 -1
   12  20  1196 -1
   13  21  1379 -1
   13  73  6100 -1
   16  24   934 -1
   17  25   875 -1
   17  29  2093 -1
   20  73  5719 -1
   21  33  1660 1
   26  43  3968 -1
   29  34   924 0
   31  50  3241 -1
   31  52  5772 3
   32  51  2038 -1
   33  37   485 -1
   33  58  4398 -1
   34  40   686 -1
   34  46  3051 -1
   34  65  7683 1
   35  53  1553 -1
   36  47  3368 0
   39  58  3901 -1
   40  49   876 -1
   48  55  1649 -1
   50  55   859 0
   50  58   902 -1
   57  64   810 -1
   60  69  1859 0
   63  75  1234 3
   70  74   485 0
   72  77  1070 1
Best profit: 60834
End
