NMec = 95584
T = 40
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 4.366e+02
Task data
   23  29  1495 -1
   25  35  1927 -1
   26 371 48204 -1
   33  47  1410 -1
   51  55  1118 -1
   61  68   613 -1
   77  89  1379 -1
  105 115   889 -1
  109 114  1522 -1
  111 122  1607 -1
  118 131  1712 -1
  120 121   187 0
  127 147  3792 -1
  127 366 45997 0
  130 144  1760 -1
  132 147  3618 -1
  144 158  2649 -1
  149 162  1420 -1
  177 182   637 -1
  185 198  2366 -1
  187 190   903 -1
  195 203  1577 -1
  200 221  2591 -1
  227 241  4103 -1
  236 241   550 -1
  262 274  2206 -1
  266 269   845 -1
  273 294  3228 -1
  297 307  1775 -1
  299 307  1375 -1
  313 329  1350 -1
  317 327  1505 -1
  325 346  2494 -1
  334 342  1194 -1
  353 362   855 -1
  358 371  1950 -1
  359 370  1370 -1
  360 376  1791 -1
  382 397  3117 -1
  385 397  1269 0
Best profit: 47453
End
