NMec = 95584
T = 38
P = 4
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.634e+01
Task data
    0  26  5305 0
    2  15   997 -1
    2  59 11290 1
    3  13  1211 2
    4  22  4799 3
   10  86 10266 -1
   11  22  1080 -1
   16  34  2038 -1
   16  39  4153 2
   20  26   884 -1
   22  34  2638 -1
   22  42  2758 -1
   23  32  1692 -1
   24  33  2556 3
   30  42  2280 -1
   31  54  5050 0
   33  50  2696 -1
   37  48   824 -1
   38  46  2228 3
   38  50  1982 -1
   42  64  4350 2
   43  67  4251 -1
   44  55  1939 -1
   46  60  1968 -1
   46  68  1798 -1
   48  64  2328 3
   55  65  1547 -1
   58  66  1797 -1
   61  73  3849 0
   63  70  1052 1
   63  77  1189 -1
   64  76  1943 -1
   67  82  4690 2
   70  75  1142 3
   71  84  1310 1
   72  83  1325 -1
   79  94  1409 0
   81  90   925 3
Best profit: 57647
End
