NMec = 95584
T = 38
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 4.496e+02
Task data
    2 117 20340 -1
    3   8  1180 -1
   10 180 22429 -1
   15  37  3444 -1
   16  78  4923 -1
   19  24   663 0
   25  41  3216 0
   43  46   677 -1
   44  56  1780 -1
   49  59  2232 -1
   49 179 33079 -1
   51  62  1939 -1
   56 188 39369 0
   66  78  1395 -1
   66 146 20043 1
   69  73   397 -1
   70  73   611 -1
   75 101  2376 -1
   76  85  1997 -1
   78  96  2840 -1
   89 175  8041 -1
   96 108  2250 -1
   97 109  1828 -1
   98 108  1211 -1
   98 110  2531 -1
  101 115  1970 -1
  103 113  2315 -1
  105 113  2639 -1
  109 121  1641 -1
  119 137  1710 -1
  127 144  3061 -1
  130 145  3043 -1
  133 141   843 -1
  158 164   934 -1
  162 186  1779 1
  167 173   920 -1
  168 175  2045 -1
  169 185  1167 -1
Best profit: 65070
End
