NMec = 95584
T = 36
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 9.575e+02
Task data
    6  26  5124 -1
   13  14   248 -1
   13  20   725 -1
   14  24   901 -1
   14  35  5965 0
   49  59  2186 -1
   57  76  1486 -1
   57  76  3362 0
   58  65  1553 -1
   77  82   681 -1
   86 110  4628 0
   88  96  2061 -1
   95 106  1797 -1
  108 125  2883 -1
  149 169  6060 0
  153 169  2349 -1
  173 186  2728 0
  190 199  1593 -1
  194 248  5453 -1
  195 223  3731 0
  223 247  3175 -1
  234 255  1353 -1
  237 249  1639 -1
  245 259  2734 0
  262 266   636 0
  269 283  1313 0
  271 297  2751 -1
  276 312  3762 -1
  279 288  1147 -1
  281 286   957 -1
  284 292  1166 -1
  286 300  1650 0
  296 320  3834 -1
  303 309   733 -1
  309 319  1574 0
  328 343  1743 0
Best profit: 36124
End
