NMec = 95584
T = 38
P = 6
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 3.304e+00
Task data
    0  58 11485 0
    1  17  3216 1
    2  11  1314 -1
    2  15  2456 -1
    3  12  2105 2
    4  13  2526 -1
    4  16  1436 -1
    8  22  4441 3
    8  25  2690 -1
    8  25  1407 -1
    8  32  4913 4
    9  19   872 -1
    9  22  1233 -1
   10  17  1598 -1
   11  20  2475 5
   13  18   661 2
   15  32  2464 -1
   19  31  1641 -1
   21  32  2077 1
   23  29  2053 2
   23  44  2934 -1
   25  35  1547 -1
   25  50  5274 3
   26  29   677 -1
   27  29   282 5
   29  41   892 -1
   30  34  1279 -1
   31  37   920 2
   32  40  1712 5
   32  44  1395 -1
   34  49  2439 -1
   34  60  4591 1
   39  48  1498 2
   40  53   997 4
   44  52  1455 5
   47  58  1110 -1
   50  58  1181 2
   53  60   720 3
Best profit: 52056
End
