NMec = 95584
T = 35
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 8.213e+00
Task data
    2  10  2175 0
    4  12   939 1
    8  31  1810 -1
   10  14   463 2
   11  30  2454 0
   20  37  3150 1
   24  27   746 2
   30  48  4842 2
   35  57  2151 0
   46  65  4781 1
   47  63  3312 -1
   49  74  3020 -1
   56  64  1996 2
   58  68  1860 -1
   60  67  1076 -1
   60  74  2912 0
   60  75  1688 -1
   63  71  1482 -1
   65  71  1418 2
   66  69   419 -1
   70  72   291 1
   72  90  1261 -1
   76  89  2637 -1
   76  97  5739 0
   78  86  1119 -1
   82  95  2482 1
   85  94  2427 -1
   86  95  2279 -1
   87 102  2888 2
   91  98  1242 -1
   96 101   527 -1
   96 102  1241 -1
   97 115  1782 1
  103 109   703 0
  106 108   670 2
Best profit: 42582
End
