NMec = 95584
T = 40
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 2.505e+01
Task data
    0   8  2030 0
    1  86  8716 -1
    2  22  2786 1
    9  19  2109 0
   14  28  2201 2
   16  26  1247 -1
   21  29   955 -1
   22  46  5653 0
   25  37  1986 1
   28  37   940 -1
   28 121 10724 -1
   31  51  3678 2
   36  38   354 -1
   39  55  1301 -1
   44  47   470 -1
   46  62  3312 1
   49  65  3629 0
   53  78  2414 -1
   55  84  5255 2
   56  61  1015 -1
   57  63  1915 -1
   58  60   510 -1
   63 115  5618 -1
   70  87  1429 0
   75  80   513 1
   81  89   824 1
   86  95  1394 -1
   87 108  3972 2
   94 115  5578 0
   97 108  1468 -1
  101 118  3798 -1
  102 110  1590 -1
  104 110   738 -1
  105 119  1212 -1
  107 129  3080 1
  109 121  1779 2
  115 123  1254 -1
  121 127  1130 -1
  121 130   976 0
  129 132   894 2
Best profit: 51684
End
