NMec = 95584
T = 35
P = 4
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.175e+01
Task data
    0   8  1575 -1
    1  58  4373 -1
    2  87 11553 0
    3  19  4332 1
    3  76 12174 2
    4  24  5074 3
    6  22  1794 -1
    6  27  3971 -1
   10  15   737 -1
   12  55  4069 -1
   19  40  2206 -1
   25  36  1863 -1
   27  28   339 -1
   28  39  1394 -1
   28  40  1360 -1
   29  33   975 1
   30  44  3417 3
   33  39   465 -1
   34  35   444 -1
   35  42   775 -1
   35  72  3962 -1
   42  58  3012 1
   45  69  6065 3
   49  76  4963 -1
   50  60  2072 -1
   53  64  1126 -1
   54  58   932 -1
   57  71  2912 -1
   58  68   966 -1
   60  67   749 -1
   67  73  1418 1
   67  78  3131 -1
   71  77  1562 3
   72  80  2152 -1
   75  87  1615 1
Best profit: 51197
End
