NMec = 95584
T = 39
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 6.681e+01
Task data
    0  63  8170 -1
    1  24  3889 0
    3  12   980 -1
    6  80 13366 1
   10  30  2225 2
   12  19  1561 -1
   23  47  4973 -1
   23 124  9874 -1
   28  44  3990 0
   30  76  4871 -1
   31  48  1821 -1
   34  87 11125 2
   39  48   876 -1
   44  46   322 -1
   45  88  4483 -1
   48  55  1232 0
   50  55   967 -1
   50  55  1089 -1
   57  65  2362 0
   61  71  1101 -1
   65  78  1144 -1
   66  70   849 -1
   69  79  1044 -1
   69  82  3362 0
   69 119  7401 -1
   70  85  1602 -1
   72  81  1518 -1
   76  99  2332 -1
   81 101  2033 -1
   84  94  1574 0
   85  91  1544 1
   86  96  2117 -1
   93 111  5333 1
   94 110  2258 -1
   95 116  3370 0
  100 106  1302 -1
  103 111  1523 -1
  109 129  3475 2
  110 125  1567 -1
Best profit: 56847
End
