NMec = 95584
T = 36
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.468e+02
Task data
    9  18  1602 0
   15 173 20035 -1
   16  33  2867 1
   20  35  1449 -1
   22 147 15996 0
   39  46  1198 -1
   39  51   800 -1
   47  59  3525 1
   55 174 12199 -1
   57 164 16559 -1
   60  80  2718 1
   63 158 10450 -1
   72  91  3703 -1
   73  82  1271 -1
   73  82   820 -1
   77  96  2200 -1
   86  90  1221 -1
   87  99  2071 1
   90  94   372 -1
   93  97   994 -1
  102 120  4351 1
  113 125  1796 -1
  119 126   838 -1
  120 132  1491 -1
  125 132   816 -1
  127 145  2445 1
  128 144  1929 -1
  129 132   673 -1
  137 146   876 -1
  141 153  1860 -1
  149 167  5483 0
  150 158  1747 1
  155 168  1727 -1
  158 166  1754 -1
  161 167  1276 1
  162 173  1190 -1
Best profit: 44081
End
