NMec = 95584
T = 35
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 5.448e+02
Task data
    3  70 16429 0
    8  28  1584 -1
   34  42   790 -1
   47  56  1772 -1
   72  96  2338 -1
   73  92  2085 0
   90 111  4143 -1
   93 104  1975 -1
   95  98   538 -1
   98 107  1243 0
  120 270 26415 0
  150 151   210 -1
  153 175  2822 -1
  155 156   486 -1
  167 176  1941 -1
  172 186  3913 -1
  185 200  3645 -1
  187 208  4099 -1
  193 207  2328 -1
  203 209  1785 -1
  229 333 10524 -1
  230 240  1161 -1
  235 238   376 -1
  235 251  3069 -1
  237 241   582 -1
  242 259  1742 -1
  249 257  2008 -1
  275 283  1822 0
  289 302  2367 0
  292 297  1435 -1
  309 332  1593 -1
  311 315   975 -1
  320 337  3191 -1
  331 345  3326 0
  344 348   463 -1
Best profit: 53687
End
