NMec = 95584
T = 36
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.100e+02
Task data
    3  14   738 -1
    3 102 15927 0
    5   9   631 -1
    6 109 14872 -1
    8  19  2929 1
    8  23  2916 -1
    9  20  1544 -1
   10  29  3880 -1
   11  27  1851 -1
   12  19  1017 -1
   17 119 27923 2
   25  45  2901 1
   35  55  2140 -1
   36  89  9996 -1
   41  64  2723 -1
   48  65  2064 -1
   54  63   743 -1
   54  78  4004 -1
   54  79  2129 -1
   55  65   963 -1
   57  67  1647 1
   61  73  2583 -1
   67  86  3186 -1
   67  88  2714 -1
   68  80  1290 -1
   68  90  5266 -1
   71  78  1345 -1
   71  80  2886 1
   77  79   273 -1
   80  94  1942 -1
   81  94  2147 -1
   84  89   628 -1
   84  94  1211 1
   88 108  2136 -1
   97 104  1559 1
  110 118  1144 0
Best profit: 58127
End
