NMec = 95584
T = 38
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 2.989e+01
Task data
    3  11  1769 0
    3  80  7015 -1
    8  13   788 1
    9  17   618 -1
   12  24  1017 0
   17  35  2038 -1
   21  34  1109 -1
   21  36  2102 -1
   21  42  4161 1
   22  38  2390 -1
   22  90  9444 -1
   24  45  4392 -1
   30  49  5112 0
   33  51  5569 2
   44  46   450 -1
   44  59  2585 -1
   45  53  2665 1
   52  54   508 -1
   56  66  1930 0
   58  67  1334 -1
   58 116  8816 1
   61  63   282 -1
   61  83  2903 -1
   62  65   681 2
   70  76  1769 -1
   73  81  1753 -1
   73  98  5274 0
   74  88  2596 -1
   75  85   969 -1
   76  85  2475 -1
   78  90  1431 2
   81  84   611 -1
   90 104  3156 -1
   90 111  1566 -1
   91 100  1314 -1
   96 126  3422 2
   97 107  2093 -1
  103 123  1942 0
Best profit: 44577
End
