NMec = 95584
T = 39
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.468e+03
Task data
   14  17   649 -1
   14  27  3286 0
   24  39  2289 -1
   32  41  1532 0
   43  66  3641 -1
   48  54   679 -1
   49  71  5070 -1
   57  80  5763 0
   62  63   357 -1
   66  78  2205 -1
   66  84  3706 -1
   71  80   818 -1
   75  85  1772 -1
   89 103  2309 -1
  100 147 12592 0
  108 123  2043 -1
  124 140  3083 -1
  131 140  2061 -1
  139 311 17299 -1
  140 148   964 -1
  154 156   312 0
  165 171  1017 0
  199 221  3806 0
  215 236  2137 -1
  219 237  3779 -1
  220 226   614 -1
  227 232  1116 0
  232 236   530 -1
  251 274  2351 -1
  258 265   784 -1
  261 272  1162 0
  261 273  3649 -1
  267 279  1234 -1
  290 316  5195 0
  295 300   601 -1
  309 321  1315 -1
  327 339  2200 0
  358 369  1223 -1
  362 387  3453 0
Best profit: 41434
End
