NMec = 95584
T = 38
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 8.386e+02
Task data
   10 216 30927 0
   22  39  2362 -1
   32 336 49265 -1
   34  55  3721 -1
   44  49   555 -1
   49  57  1703 -1
   66  80  2948 -1
   69  74   529 -1
   73  84  2041 -1
   76  81   758 -1
   79  93  3789 -1
   88  90   571 -1
   90 109  1372 -1
  109 123  1970 -1
  119 138  4057 -1
  132 375 17354 -1
  137 235  9259 -1
  138 140   412 -1
  146 148   527 -1
  171 175   451 -1
  184 197  2946 -1
  188 193   661 -1
  216 220   553 -1
  218 227  1314 0
  255 263   714 -1
  259 270  2077 -1
  276 288  1395 -1
  277 288  1687 0
  300 309  1525 -1
  308 321  3465 0
  314 333  2995 -1
  318 338  2801 -1
  326 345  1563 0
  332 334   889 -1
  332 336   999 -1
  347 354  2346 0
  360 362   585 0
  360 370  2812 -1
Best profit: 41887
End
