NMec = 97746
T = 40
P = 3
Profits ignored
Valid tasks:                                                       3211018264
Solution time = 5.017e+01
Task data
    0  89     1 -1
    4  13     1 0
    4  13     1 1
    6 116     1 -1
   12  24     1 2
   13 125     1 -1
   16 122     1 -1
   19  43     1 -1
   22  40     1 -1
   23  31     1 0
   25 104     1 -1
   26  37     1 1
   29  46     1 -1
   30  48     1 -1
   31  39     1 -1
   33  44     1 0
   34  49     1 2
   39  53     1 1
   49  59     1 -1
   49  59     1 0
   51  62     1 2
   54  75     1 1
   62  75     1 0
   76  93     1 0
   76  97     1 -1
   88 100     1 -1
   89 101     1 -1
   95  99     1 0
   96 108     1 1
   96 116     1 -1
   97 106     1 2
  101 122     1 -1
  104 119     1 -1
  106 107     1 0
  107 115     1 2
  110 115     1 0
  112 117     1 1
  123 133     1 0
  126 132     1 1
  129 132     1 2
Best profit: 23
End
