NMec = 97746
T = 39
P = 3
Profits ignored
Valid tasks:                                                       1084362396
Solution time = 1.539e+01
Task data
    2  13     1 0
    5  33     1 -1
    8 105     1 -1
   11  26     1 1
   12  97     1 -1
   18  27     1 0
   18  45     1 -1
   18  86     1 -1
   23  40     1 2
   31  44     1 -1
   32  47     1 0
   39  42     1 1
   39  60     1 -1
   41  54     1 2
   43  63     1 1
   51  68     1 -1
   51  93     1 -1
   53  66     1 0
   55  74     1 -1
   57  79     1 -1
   59  72     1 -1
   59  82     1 -1
   62  77     1 -1
   63  72     1 2
   65  74     1 1
   67  81     1 -1
   68  78     1 0
   71  86     1 -1
   74  85     1 2
   77  93     1 1
   80  97     1 0
   93 101     1 2
   97 104     1 1
   99 107     1 0
  103 114     1 -1
  105 126     1 1
  106 122     1 2
  111 117     1 0
  118 125     1 0
Best profit: 22
End
