NMec = 95584
T = 39
P = 2
Profits ignored
Valid tasks:                                                       1746230528
Solution time = 2.569e+01
Task data
    3  21     1 0
    4  14     1 1
   23  36     1 -1
   25  32     1 0
   31  41     1 1
   39  57     1 -1
   41 145     1 -1
   45  54     1 -1
   46  55     1 0
   48  54     1 1
   54  62     1 -1
   56  62     1 0
   62  89     1 1
   66  68     1 0
   77  92     1 -1
   78  89     1 0
   78  99     1 -1
   89  96     1 -1
   90  98     1 0
   90 101     1 -1
   91 114     1 -1
   92 105     1 1
   97 111     1 -1
   99 111     1 0
  107 116     1 -1
  107 120     1 -1
  111 120     1 -1
  111 124     1 1
  111 131     1 -1
  114 120     1 0
  124 130     1 0
  124 132     1 -1
  128 147     1 1
  131 144     1 0
  152 160     1 0
  156 168     1 1
  165 174     1 0
  174 180     1 1
  186 194     1 0
Best profit: 23
End
