NMec = 95584
T = 38
P = 3
Profits ignored
Valid tasks:                                                       2187962940
Solution time = 3.922e+01
Task data
    3  11     1 0
    3  80     1 -1
    8  13     1 1
    9  17     1 2
   12  24     1 -1
   17  35     1 -1
   21  34     1 -1
   21  36     1 0
   21  42     1 1
   22  38     1 2
   22  90     1 -1
   24  45     1 -1
   30  49     1 -1
   33  51     1 -1
   44  46     1 0
   44  59     1 1
   45  53     1 2
   52  54     1 0
   56  66     1 -1
   58  67     1 0
   58 116     1 -1
   61  63     1 1
   61  83     1 -1
   62  65     1 2
   70  76     1 0
   73  81     1 -1
   73  98     1 -1
   74  88     1 -1
   75  85     1 -1
   76  85     1 1
   78  90     1 0
   81  84     1 2
   90 104     1 -1
   90 111     1 -1
   91 100     1 0
   96 126     1 1
   97 107     1 2
  103 123     1 0
Best profit: 21
End
