NMec = 97746
T = 41
P = 1
Profits ignored
Valid tasks:                                                                0
Solution time = 2.743e-05
Task data
    1  16     1 0
   24  39     1 0
   31  44     1 -1
   34  49     1 -1
   65  73     1 0
   82  89     1 0
   90  95     1 0
   88  97     1 -1
   99 109     1 0
  129 135     1 0
    1 137     1 -1
  125 141     1 -1
  139 148     1 0
  150 157     1 0
   13 161     1 -1
  170 180     1 0
  174 185     1 -1
   27 192     1 -1
  171 198     1 -1
  197 214     1 0
  202 218     1 -1
   45 223     1 -1
  220 227     1 0
  228 238     1 0
  232 238     1 -1
  269 278     1 0
  275 284     1 -1
  228 291     1 -1
  282 292     1 0
  333 342     1 0
  328 348     1 -1
   79 349     1 -1
  346 352     1 0
  332 353     1 -1
  352 357     1 -1
  386 388     1 0
  378 393     1 -1
  392 398     1 0
   46 403     1 -1
  394 408     1 -1
    2 409     1 -1
Best profit: 19
End
