NMec = 95584
T = 35
P = 3
Profits ignored
Valid tasks:                                                                0
Solution time = 2.826e-06
Task data
    2  10     1 0
    4  12     1 1
   10  14     1 2
   24  27     1 0
   11  30     1 1736415839
    8  31     1 0
   20  37     1 1
   30  48     1 0
   35  57     1 2
   47  63     1 1
   56  64     1 0
   46  65     1 4
   60  67     1 2
   58  68     1 0
   66  69     1 0
   63  71     1 195
   65  71     1 1
   70  72     1 0
   49  74     1 32764
   60  74     1 -1
   60  75     1 0
   78  86     1 0
   76  89     1 1
   72  90     1 2
   85  94     1 2132365712
   82  95     1 32548
   86  95     1 0
   76  97     1 32548
   91  98     1 0
   96 101     1 1
   87 102     1 0
   96 102     1 2
  106 108     1 0
  103 109     1 1
   97 115     1 0
Best profit: 21
End
