NMec = 95584
T = 37
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 2.816e-06
Task data
    6   9     1 0
    5  10     1 1
   12  29     1 0
   22  30     1 1
   24  35     1 32669
   30  36     1 0
   29  37     1 32669
   30  38     1 195
   27  43     1 1
   30  44     1 0
   39  46     1 0
   40  54     1 1
   54  66     1 0
   47  68     1 32669
   68  70     1 0
   41  71     1 0
   63  71     1 1
   74  85     1 0
   64  88     1 -1406324336
   74  93     1 1
   83 103     1 32767
  103 104     1 0
   93 112     1 0
   95 113     1 1
  101 115     1 32669
   49 118     1 464319851
  110 121     1 0
   98 122     1 0
  121 127     1 1
  127 130     1 0
  127 136     1 0
  125 139     1 0
  144 162     1 0
  147 163     1 1
   85 164     1 -1406489352
  161 171     1 4
  174 183     1 0
Best profit: 20
End
