NMec = 95584
T = 36
P = 1
Profits ignored
Valid tasks:                                                                0
Solution time = 2.384e-06
Task data
   13  14     1 0
   13  20     1 0
   14  24     1 1
    6  26     1 0
   14  35     1 0
   49  59     1 0
   58  65     1 0
   57  76     1 0
   57  76     1 0
   77  82     1 0
   88  96     1 0
   95 106     1 32702
   86 110     1 0
  108 125     1 0
  149 169     1 0
  153 169     1 -952720248
  173 186     1 0
  190 199     1 0
  195 223     1 -949488400
  223 247     1 0
  194 248     1 0
  237 249     1 32766
  234 255     1 0
  245 259     1 -1030454896
  262 266     1 0
  269 283     1 0
  281 286     1 195
  279 288     1 0
  284 292     1 0
  271 297     1 32702
  286 300     1 -1030778824
  303 309     1 0
  276 312     1 -949449619
  309 319     1 0
  296 320     1 -949447317
  328 343     1 0
Best profit: 14
End
