NMec = 95584
T = 39
P = 3
Profits ignored
Valid tasks:                                                                0
Solution time = 3.767e-06
Task data
    3  12     1 0
   12  19     1 1
    1  24     1 2
   10  30     1 -108090259
   28  44     1 0
   44  46     1 1
   23  47     1 -1010069104
   31  48     1 2
   39  48     1 -108087957
   48  55     1 0
   50  55     1 1
   50  55     1 2
    0  63     1 0
   57  65     1 0
   66  70     1 0
   61  71     1 1
   30  76     1 32569
   65  78     1 2
   69  79     1 0
    6  80     1 32569
   72  81     1 0
   69  82     1 32569
   70  85     1 32767
   34  87     1 -1010332856
   45  88     1 0
   85  91     1 0
   84  94     1 1
   86  96     1 2
   76  99     1 32569
   81 101     1 32767
  100 106     1 0
   94 110     1 1736415839
   93 111     1 32569
  103 111     1 1
   95 116     1 32767
   69 119     1 0
   23 124     1 -1010332192
  110 125     1 0
  109 129     1 2
Best profit: 21
End
