NMec = 95584
T = 40
P = 3
Profits ignored
Valid tasks:                                                                0
Solution time = 3.476e-06
Task data
    0   8     1 0
    9  19     1 0
    2  22     1 1
   16  26     1 2
   14  28     1 -1
   21  29     1 0
   25  37     1 1
   28  37     1 2
   36  38     1 0
   22  46     1 32764
   44  47     1 0
   31  51     1 0
   39  55     1 1
   58  60     1 0
   56  61     1 1
   46  62     1 2
   57  63     1 4
   49  65     1 32712
   53  78     1 32712
   75  80     1 0
   55  84     1 32712
    1  86     1 0
   70  87     1 1
   81  89     1 0
   86  95     1 2
   87 108     1 0
   97 108     1 0
  102 110     1 1
  104 110     1 2
   63 115     1 -172233619
   94 115     1 0
  101 118     1 0
  105 119     1 0
   28 121     1 0
  109 121     1 0
  115 123     1 1
  121 127     1 2
  107 129     1 351965236
  121 130     1 0
  129 132     1 0
Best profit: 24
End
