NMec = 95584
T = 36
P = 3
Profits ignored
Valid tasks:                                                                0
Solution time = 3.196e-06
Task data
    5   9     1 0
    3  14     1 1
    8  19     1 2
   12  19     1 0
    9  20     1 1591977200
    8  23     1 -1531055728
   11  27     1 32554
   10  29     1 0
   25  45     1 0
   35  55     1 1
   54  63     1 0
   41  64     1 2
   48  65     1 0
   55  65     1 0
   57  67     1 1
   61  73     1 32554
   54  78     1 32765
   71  78     1 0
   54  79     1 1
   77  79     1 1
   68  80     1 2
   71  80     1 32765
   67  86     1 32554
   67  88     1 0
   36  89     1 0
   84  89     1 0
   68  90     1 32554
   80  94     1 1
   81  94     1 2
   84  94     1 -1531243160
    3 102     1 195
   97 104     1 0
   88 108     1 1592015981
    6 109     1 0
  110 118     1 0
   17 119     1 0
Best profit: 17
End
