NMec = 95584
T = 39
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 2.905e-06
Task data
    4  14     1 0
    3  21     1 1
   25  32     1 0
   23  36     1 1
   31  41     1 32757
   45  54     1 0
   48  54     1 1
   46  55     1 1951790443
   39  57     1 32757
   54  62     1 0
   56  62     1 0
   66  68     1 0
   62  89     1 1
   78  89     1 0
   77  92     1 0
   89  96     1 1951749360
   90  98     1 0
   78  99     1 32757
   90 101     1 1
   92 105     1 1948517512
   97 111     1 32757
   99 111     1 0
   91 114     1 0
  107 116     1 1
  107 120     1 0
  111 120     1 0
  114 120     1 0
  111 124     1 -208365400
  124 130     1 0
  111 131     1 32766
  124 132     1 1
  131 144     1 0
   41 145     1 32766
  128 147     1 0
  152 160     1 0
  156 168     1 1
  165 174     1 0
  174 180     1 1
  186 194     1 0
Best profit: 23
End
