NMec = 95584
T = 39
P = 1
Profits ignored
Valid tasks:                                                                0
Solution time = 2.555e-06
Task data
   14  17     1 0
   14  27     1 868271240
   24  39     1 0
   32  41     1 32767
   48  54     1 0
   62  63     1 0
   43  66     1 1
   49  71     1 -1
   66  78     1 0
   57  80     1 32742
   71  80     1 4
   66  84     1 32742
   75  85     1 32742
   89 103     1 0
  108 123     1 0
  124 140     1 0
  131 140     1 541325016
  100 147     1 0
  140 148     1 0
  154 156     1 0
  165 171     1 0
  199 221     1 0
  220 226     1 871544171
  227 232     1 0
  215 236     1 32742
  232 236     1 871541869
  219 237     1 543158672
  258 265     1 0
  261 272     1 32767
  261 273     1 32742
  251 274     1 0
  267 279     1 0
  295 300     1 0
  139 311     1 195
  290 316     1 0
  309 321     1 0
  327 339     1 0
  358 369     1 0
  362 387     1 1736415839
Best profit: 18
End
