NMec = 95584
T = 40
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 3.247e-06
Task data
    3  13     1 0
    5  15     1 1
   15  31     1 0
   24  35     1 1
   34  41     1 0
   34  43     1 32695
   40  50     1 1
   11  55     1 -739285653
   47  56     1 0
   58  69     1 0
   60  82     1 1
   70  82     1 0
   62  83     1 0
   71  84     1 -1373900400
   67  87     1 0
   83  88     1 0
    9  97     1 -1375240016
   83  99     1 1
  100 104     1 0
   88 114     1 32764
   95 115     1 0
  121 127     1 0
  121 131     1 1
  115 136     1 0
  125 137     1 32764
    9 139     1 -1375240444
  125 139     1 1
  154 158     1 0
  140 164     1 1
  147 164     1 -1375239888
  160 172     1 0
  155 177     1 0
   64 179     1 -742558584
  167 185     1 1
  173 189     1 0
  188 189     1 1
    2 195     1 0
   62 196     1 -1
   37 197     1 -1375240552
    0 199     1 32695
Best profit: 21
End
