NMec = 95584
T = 36
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 2.955e-06
Task data
    9  18     1 0
   16  33     1 1
   20  35     1 0
   39  46     1 0
   39  51     1 1
   47  59     1 0
   60  80     1 0
   73  82     1 1
   73  82     1 1
   86  90     1 0
   72  91     1 0
   90  94     1 1
   77  96     1 1863769848
   93  97     1 0
   87  99     1 195
  102 120     1 0
  113 125     1 1
  119 126     1 1736415839
  120 132     1 0
  125 132     1 0
  129 132     1 1
  128 144     1 1863770384
  127 145     1 35951856
  137 146     1 0
   22 147     1 4
  141 153     1 1
   63 158     1 32670
  150 158     1 0
   57 164     1 35992939
  158 166     1 1
  149 167     1 32767
  161 167     1 0
  155 168     1 0
   15 173     1 32767
  162 173     1 0
   55 174     1 35990637
Best profit: 20
End
