NMec = 97746
T = 38
P = 5
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.223e+01
Task data
    0  75  6850 -1
    0  75 15316 0
    2  19  1950 -1
    3  16  1919 1
    3  21  2706 2
    3  54 12581 3
    4  29  3688 -1
   10  16   698 -1
   12  16   467 -1
   15  22  1182 -1
   16  29  1058 -1
   20  30  1587 1
   21  38  2114 -1
   22  30  2398 2
   22  41  3332 -1
   23  25   307 -1
   23  75 11327 4
   24  28   558 -1
   24  33  1316 -1
   25  34  1665 -1
   26  39  1921 -1
   28  41  1162 -1
   29  36  1359 -1
   32  46   925 -1
   32  52  5217 -1
   32  71 10604 1
   33  60  4109 2
   34  47  2282 -1
   39  48  1690 -1
   41  51  1691 -1
   41  56   984 -1
   45  55  1444 -1
   53  71  1744 -1
   54  62  1236 -1
   57  71  1612 3
   65  66   528 2
   65  74  1826 -1
   70  75  1290 2
Best profit: 65977
End
