NMec = 97746
T = 37
P = 4
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 2.599e+01
Task data
    0  92 16598 0
    1  22  4515 -1
    2  63  8598 -1
    4  15  2716 -1
    4  90 21128 1
    5  20  2926 2
    6  25  2428 -1
    6  91 24263 3
    7  14  2206 -1
    7  15  1421 -1
    7  28  3489 -1
   11  14   454 -1
   11  21  2485 -1
   16  70 10404 -1
   18  28  1629 -1
   24  41  2735 2
   26  30   696 -1
   31  48  2798 -1
   34  51  3393 -1
   35  42   859 -1
   35  79  7315 -1
   40  83  5966 -1
   42  44   357 2
   43  55  2903 -1
   45  52  1005 -1
   45  56  3227 -1
   49  55   724 -1
   49  65  1390 -1
   50  63  1738 2
   52  74  2985 -1
   54  68  2400 -1
   57  69  1340 -1
   61  83  3888 -1
   64  87  4301 -1
   69  80  1695 2
   81  90   993 -1
   82  92  3045 2
Best profit: 74485
End
