NMec = 97746
T = 35
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 7.848e+02
Task data
    8 287 40074 -1
   33  46  2473 -1
   40  64  4355 0
   46  56  1131 -1
   52  75  3387 -1
   54  78  3479 -1
   57  71  1157 -1
   65  66   356 -1
   70 238 32762 0
   72  86  2758 -1
   75  88  1358 -1
   78  86   770 -1
   83  87   510 -1
   88  92   858 -1
  112 123  2937 -1
  145 160  1553 -1
  146 153   712 -1
  151 165  1872 -1
  162 171  1079 -1
  165 176  1018 -1
  166 185  3661 -1
  203 213  1026 -1
  208 220  3206 -1
  213 227  1047 -1
  215 219   579 -1
  219 231  1015 -1
  233 239  1091 -1
  235 250  1352 -1
  236 246  2208 -1
  255 277  2025 -1
  271 284  2625 -1
  317 325  1569 -1
  324 339  1918 -1
  328 339  2090 0
  341 349  2565 0
Best profit: 41772
End
