NMec = 97746
T = 39
P = 4
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 2.216e+01
Task data
    0  11  2007 0
    1   9  1248 1
    2  21  2917 -1
    5  91 22841 2
    7  33  2606 -1
    7  55  4636 -1
    7  65 11077 3
   12  21  1048 -1
   13  22  1148 -1
   16  26  1346 0
   17  23   775 -1
   18  69  6438 1
   20  41  4399 -1
   24  43  2745 -1
   26  44  1614 -1
   28  37  2086 0
   29  37  1961 -1
   34  54  2905 -1
   34  78  3889 -1
   36  48  1811 -1
   36  62  5687 -1
   37  45  1840 -1
   38  50  1845 0
   39  42   933 -1
   45  57  1281 -1
   46  54  1459 -1
   51  62  2106 -1
   52  55   389 -1
   73  77   345 -1
   73  89  2654 0
   74  84  1084 -1
   74  95  4265 1
   75  85  1416 -1
   75  87  1627 -1
   77  96  4279 3
   77  97  2483 -1
   91  94   740 -1
   91  95   717 -1
   91  96  1227 0
Best profit: 61313
End
