NMec = 97746
T = 37
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.282e+03
Task data
   11  21  1246 0
   28  52  3468 0
   38  52  4233 -1
   39  49  2672 -1
   41  50  1298 -1
   50  59  1600 -1
   61  76  2705 -1
   70  81  1192 -1
   74  88  1546 0
   83 201 12761 -1
   86 103  2185 -1
   96 101   491 -1
  108 122  1782 -1
  115 128  3859 0
  115 129  2085 -1
  116 133  2798 -1
  118 132  2688 -1
  136 155  2067 -1
  137 302 24571 -1
  139 162  3902 0
  146 155  1586 -1
  183 202  2482 -1
  187 197  1737 -1
  193 205  3496 0
  215 228  2639 -1
  222 362 39024 0
  238 243  1340 -1
  268 290  3495 -1
  271 284  3163 -1
  276 281   848 -1
  299 305   879 -1
  310 332  4351 -1
  322 330  1221 -1
  327 335  1607 -1
  337 355  3900 -1
  341 349  1647 -1
  346 351  1358 -1
Best profit: 56541
End
