NMec = 97746
T = 39
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.014e+02
Task data
    2  13  1945 0
    5  33  3429 -1
    8 105  9646 -1
   11  26  2958 1
   12  97 16146 2
   18  27   850 -1
   18  45  5721 0
   18  86  8437 -1
   23  40  3921 -1
   31  44  2800 1
   32  47  3370 -1
   39  42   933 -1
   39  60  2525 -1
   41  54  1922 -1
   43  63  2628 -1
   51  68  1886 -1
   51  93  4235 -1
   53  66   963 0
   55  74  2477 1
   57  79  3846 -1
   59  72  2186 -1
   59  82  5134 -1
   62  77  1555 -1
   63  72  1939 -1
   65  74   865 -1
   67  81  3067 0
   68  78  2295 -1
   71  86  1545 -1
   74  85  1136 -1
   77  93  4464 1
   80  97  2625 -1
   93 101   996 0
   97 104  1030 1
   99 107  1248 -1
  103 114  2106 0
  105 126  3122 1
  106 122  2368 2
  111 117  1004 -1
  118 125  1107 0
Best profit: 51270
End
