NMec = 97746
T = 38
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.259e+01
Task data
    1   6   855 0
    1 125 20822 1
    8  25  3286 0
   13  20  1936 2
   17  37  3228 -1
   24  29  1599 2
   27  29   395 0
   30  48  3163 0
   35  45  1869 -1
   36  47  1119 2
   45  51   994 -1
   46  63  2114 -1
   48  55  1097 -1
   49  69  2275 -1
   51  68  1361 0
   52  60  1935 -1
   52  63  1773 -1
   54  60  1184 2
   68  73   824 2
   73  85  1448 0
   75  85  2917 2
   75  92  1107 -1
   82  94  1784 -1
   88  91   527 0
   90 117  2789 -1
   91 101   913 -1
   91 107  3427 2
   95  98   368 -1
   97 105  2372 0
  101 113  1397 -1
  101 115  2202 -1
  101 117  2453 -1
  103 118  3420 -1
  106 115  2485 0
  106 123  1110 -1
  107 117   992 -1
  112 125  2282 2
  117 121   512 0
Best profit: 52514
End
