NMec = 97746
T = 36
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.009e+02
Task data
    4  21  2322 -1
    5  11   399 0
    5  31  2604 -1
   11  17  1804 -1
   11  31  2198 -1
   13  26  3300 -1
   13 113 12243 -1
   14  61 11147 0
   15  22   807 1
   16  35  1853 -1
   16  41  4987 2
   21  47  2894 -1
   23  45  2355 -1
   24  48  5918 1
   25  60  2762 -1
   26  49  4019 -1
   27  48  2752 -1
   28 113  5901 -1
   31  36  1042 -1
   31  51  2995 -1
   38  51  2195 -1
   42  56  2405 -1
   43  59  4770 2
   48  62  1812 -1
   53  65  1337 -1
   54  59   880 -1
   56  77  2424 -1
   59  64   794 -1
   59  74  3071 1
   68  75  1433 0
   76  87  1457 0
   79  90  2088 1
   88 101  1402 0
   91 113  2510 1
   99 115  2143 2
  109 116  1788 0
Best profit: 43920
End
