NMec = 97746
T = 37
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 3.728e+01
Task data
    5  27  4206 0
    5  62  7864 1
   10  32  2377 -1
   11  34  3335 -1
   15  20  1136 -1
   16 121 10521 -1
   17  44  3633 -1
   19  32  2874 -1
   19  45  7259 2
   21 110  7356 -1
   22  33  1490 -1
   27  30   413 -1
   28  45  2855 -1
   29  38  1793 -1
   31  37  1701 -1
   31  43  3584 0
   32  48  2064 -1
   35  43  1607 -1
   36  44  1368 -1
   36  45  1691 -1
   43  69  3058 -1
   48  58  1526 0
   51  65  2119 2
   56  58   679 -1
   64  76  1925 0
   64  85  2360 -1
   65  71  1106 1
   68  75   951 2
   72  80  2010 1
   81 100  4526 0
   85  86   326 -1
   88  99  2262 1
   90  96  1938 -1
   98 119  3519 2
  106 121  4515 0
  107 114  1244 -1
  107 115  1130 1
Best profit: 48502
End
