NMec = 97746
T = 40
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 5.037e+02
Task data
    5 192 36991 0
   14  36  2456 -1
   16 141  8558 -1
   17 153 23259 -1
   22  29   914 1
   22  38  3199 -1
   26  38  1240 -1
   27  44  1413 -1
   31  42  2404 1
   41  46   669 -1
   42  63  3068 -1
   43  51  1432 1
   44  69  5896 -1
   45  68  1890 -1
   47 104 10496 -1
   50  58   805 -1
   57  73  3136 -1
   61  69  1862 -1
   62  82  2177 -1
   63  79  1059 -1
   65  76  1597 -1
   68  73  1063 1
   78  85   822 1
   89 105  1562 1
   89 186 14589 -1
  107 197  6962 -1
  110 122  1492 1
  123 139  2867 1
  130 140   857 -1
  134 142  2059 -1
  134 158  4058 -1
  143 153  2827 1
  143 156  2113 -1
  149 159  1183 -1
  154 161  1945 1
  162 176  1637 -1
  165 167   526 -1
  165 182  3520 1
  176 183  1953 -1
  184 192  1653 1
Best profit: 59492
End
