NMec = 97746
T = 38
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 9.373e+01
Task data
    1   8  1140 -1
    2  16  3977 0
    2  16  1762 -1
    3 188 31424 1
    6  21   987 -1
   15  30  1468 -1
   15  32  2597 -1
   17  27  1510 -1
   20  39  4969 0
   24  38  1671 -1
   26  30   913 -1
   26  38  3464 -1
   32  39   722 -1
   32 173 21818 -1
   49  56  1135 -1
   49 170 13210 -1
   54  68  2548 0
   80  83   527 0
   84  91  1051 -1
   84  94  1625 -1
   84  95  2419 0
   93 174 11236 -1
  101 112  3162 0
  102 125  3911 -1
  109 128  1660 -1
  119 129  2352 -1
  123 143  3496 -1
  128 135  1720 0
  130 140  1096 -1
  139 143   379 0
  153 156   667 -1
  156 176  2882 0
  161 179  1942 -1
  166 178  1212 -1
  166 179   861 -1
  167 180  1505 -1
  171 180  1468 -1
  181 185  1211 -1
Best profit: 54007
End
