NMec = 97746
T = 35
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 2.038e+02
Task data
    0  11  1165 0
    0  11  2091 -1
    1   6   648 1
    1 156 24289 -1
    6   7   354 -1
   13  78 18804 0
   29 164 13844 -1
   41 115  6602 -1
   44  64  5179 -1
   44  73  3083 -1
   44 166 30097 1
   48  56  1041 -1
   49  63  1171 -1
   57  64   618 -1
   61  70  1875 -1
   70  95  4528 -1
   78  82   428 -1
   80  86   592 0
   83  98  1492 -1
   96 111  3211 0
  102 123  1865 -1
  104 117  1678 -1
  107 114  1395 -1
  119 143  4847 0
  126 135  1412 -1
  130 148  3478 -1
  131 146  2291 -1
  133 142   698 -1
  135 158  2995 -1
  141 162  2133 -1
  144 155  2058 0
  145 150  1066 -1
  148 154  1288 -1
  150 161  1671 -1
  166 168   268 -1
Best profit: 61422
End
