NMec = 97746
T = 39
P = 5
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 8.404e+00
Task data
    0  13  1607 0
    2   9  1030 1
    4  55 10396 2
    6  25  4279 3
    6  26  3402 -1
    7  17  1069 4
    7  25  3884 -1
   10  14   692 -1
   10  27  2507 -1
   12  66 11583 1
   14  18  1022 -1
   14  39  2461 -1
   15  18   568 0
   15  29  1448 -1
   17  35  4989 -1
   19  36  3159 0
   20  42  5358 4
   23  29  1093 -1
   23  33  2066 -1
   28  44  2106 3
   30  35  1164 -1
   34  55  1902 -1
   35  62  5839 -1
   36  44  1101 -1
   36  61  2561 -1
   39  51  1438 -1
   43  52  1433 0
   44  73  4158 4
   47  58  1257 -1
   48  61  1379 -1
   48  67  2503 -1
   48  71  3293 -1
   52  59  1167 -1
   54  71  3921 0
   55  75  3882 3
   57  68   825 -1
   59  77  2247 -1
   63  74  2007 2
   67  74   680 1
Best profit: 57236
End
