NMec = 97746
T = 40
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 7.080e+02
Task data
   11  33  4070 -1
   22 370 37255 -1
   26  38  1024 -1
   28  33   955 -1
   30  41  2038 -1
   35  39   538 -1
   50  66  1521 -1
   53  60  1476 0
   59  74  3205 -1
   69  92  4963 -1
   78  82   941 -1
   78  86  1462 -1
   80 330 57383 0
   89 107  3716 -1
   90 115  2388 -1
   97 106  1037 -1
  114 117   533 -1
  119 128  2268 -1
  123 224 11128 -1
  130 146  1951 -1
  144 154  1638 -1
  155 161   476 -1
  155 161   977 -1
  159 166   629 -1
  167 176  1027 -1
  174 186  1962 -1
  188 197  1836 -1
  191 207  1940 -1
  217 229   995 -1
  221 234  1561 -1
  228 239  2362 -1
  235 247   810 -1
  250 259  1811 -1
  251 267  2867 -1
  301 324  5856 -1
  319 330  2102 -1
  347 361  3646 -1
  380 388   701 0
  387 394  2056 -1
  394 399   573 0
Best profit: 60133
End
