NMec = 97746
T = 38
P = 1
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 7.043e+02
Task data
    6  18  2208 0
   26  34  1643 0
   27  37  1567 -1
   35 160 27074 0
   40  56  2495 -1
   58 272 13249 -1
   71  89  1744 -1
   91 100  1022 -1
   97 105   554 -1
   99 100   152 -1
  108 111   807 -1
  116 127  1410 -1
  132 313 24971 -1
  134 140   582 -1
  134 148  2164 -1
  139 301 27130 -1
  143 162  4840 -1
  147 350 22715 -1
  150 160  1025 -1
  167 177  1561 -1
  182 191  1667 0
  182 201  1803 -1
  187 203  3634 -1
  192 206  3977 0
  193 218  3563 -1
  199 206  2132 -1
  218 242  6587 0
  222 233  1579 -1
  233 245  1998 -1
  268 280  1921 -1
  272 289  1935 -1
  291 295   846 0
  301 324  2600 0
  307 317  1444 -1
  308 322  3727 -1
  325 338  1395 0
  353 361  1236 0
  364 374  1793 0
Best profit: 51026
End
