NMec = 97746
T = 35
P = 4
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.365e+01
Task data
    0  86 16866 0
    1  25  3893 1
    2  13  2250 -1
    2  72 12996 2
    6  25  2863 3
    6  79  6271 -1
    9  72  7667 -1
   13  32  3483 -1
   21  27   489 -1
   22  29   746 -1
   23  35  1504 -1
   23  37  1528 -1
   24  44  2038 -1
   26  28   257 -1
   28  39  1694 -1
   28  44  2915 1
   29  50  3833 -1
   30  39  2007 3
   30  47  1941 -1
   35  44  1392 -1
   40  45   583 -1
   40  47  1958 3
   45  60  1424 -1
   50  63  2486 1
   51  71  2621 -1
   54  59   508 3
   54  60  1237 -1
   60  86  4964 3
   62  76  3699 -1
   63  78  1409 -1
   71  80  1743 -1
   71  82  1234 -1
   71  87  4844 1
   72  81   781 -1
   76  81   463 2
Best profit: 56763
End
