NMec = 97746
T = 35
P = 5
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.350e+01
Task data
    0  69  6227 -1
    1  24  4500 0
    1  56 11235 1
    2  20  2682 2
    3  66 10970 3
    6  18  2296 -1
    7  14   625 -1
    8  13  1046 -1
    8  25  2804 -1
    9  10   170 -1
   11  28  1747 -1
   12  32  4072 -1
   14  51  6745 4
   15  23   695 -1
   15  24  1019 -1
   16  22   840 -1
   16  31  1369 -1
   17  36  1690 -1
   18  33  1997 -1
   19  30  1718 -1
   20  24   916 -1
   22  28  1714 2
   24  34  2713 -1
   24  36  1336 -1
   26  37  3420 0
   30  51  4045 -1
   32  45  2440 2
   34  46  2264 -1
   38  59  1535 -1
   43  64  2133 0
   46  58  1810 2
   47  65  2198 -1
   49  65  1585 -1
   52  53   177 4
   62  65   432 1
Best profit: 48258
End
