NMec = 97746
T = 37
P = 7
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.238e+01
Task data
    0  51 14393 0
    2   6   679 1
    3  17  2400 2
    4  27  4541 3
    7  17  2485 1
    7  19  2903 4
    7  25  2887 5
    8  24  2019 -1
    8  28  3109 -1
    9  50  4169 -1
   10  23  1738 -1
   11  20  1133 -1
   13  29  2363 -1
   13  34  4023 -1
   14  47  6092 6
   16  34  3212 -1
   17  38  4515 -1
   18  29  2716 -1
   18  31  1447 1
   20  52  3540 -1
   21  39  1554 -1
   23  28   933 -1
   23  32  2689 2
   23  35  1578 -1
   23  44  2762 -1
   26  34  1169 -1
   26  37  2262 4
   26  38  3668 5
   27  40  2499 -1
   27  43  2401 -1
   31  36  1655 -1
   31  51  3414 3
   33  45  2062 -1
   34  47  1942 1
   39  47  2187 2
   39  49  1134 4
   43  52  1579 5
Best profit: 56702
End
