NMec = 97746
T = 36
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 1.376e+02
Task data
    0 157 19905 -1
    7  15   902 0
   10 158 28587 -1
   11 121 28586 1
   13  15   397 -1
   15  42  3612 -1
   17  22   579 -1
   19  24  1394 0
   21  40  1373 -1
   23  25   523 -1
   32  39   858 -1
   39  48  1024 -1
   40  59  4714 0
   43  51   942 -1
   54  74  3078 -1
   56  66  2605 -1
   59  78  2204 -1
   61  74  2430 0
   78  91  1528 -1
   82  98  2053 -1
   83  96  1997 0
   84  96  1627 -1
   87  98  1457 -1
   89 152 14293 -1
   91 111  4028 -1
   96 115  3206 -1
   97 107  1109 -1
   98 113  1940 -1
  102 114   998 -1
  111 175 18234 0
  132 148  2665 1
  134 145   684 -1
  141 160  1853 -1
  142 155  1439 -1
  157 174  3222 1
  161 178  3015 -1
Best profit: 64144
End
