NMec = 97746
T = 36
P = 7
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 3.992e+00
Task data
    0  48 11379 0
    1  15  1502 -1
    1  18  3124 1
    2   8  1344 2
    5  10   579 3
    5  19   855 -1
    6  24  2294 -1
    7  15  1135 -1
    7  22  1763 -1
    7  23  1856 4
    8  29  2302 -1
    9  18  1213 -1
    9  19  1454 2
    9  19  1127 -1
   10  21  1759 -1
   11  28  4636 3
   12  23  1549 -1
   12  32  3291 -1
   14  36  5420 5
   15  33  3644 6
   15  39  3565 -1
   17  24   823 -1
   19  28  1008 -1
   20  29  1791 1
   21  32  2841 2
   22  35  1297 -1
   24  50  4328 4
   25  35  1180 -1
   26  34  1093 -1
   27  46  2502 -1
   30  42   998 1
   33  45  2262 2
   33  51  1304 -1
   34  38   838 3
   36  47  3367 6
   39  44  1341 3
Best profit: 51202
End
