NMec = 97746
T = 37
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 2.043e+01
Task data
    1   9  1848 0
    6  52  8389 1
    7  15  1428 -1
    8  20  1807 -1
   10  25  4515 -1
   12  22  1737 0
   20  30  1366 -1
   20  31  1457 -1
   21  35  1546 -1
   23  36  1586 -1
   24  37  1145 0
   32  45  3126 -1
   39  56  4372 -1
   42  50  1440 -1
   42  54  2330 -1
   42  82  6664 0
   54  68  1490 1
   68  80  3584 -1
   72  97  3950 -1
   74  91  4983 1
   79 104  2789 -1
   86 111  5883 0
   92  99  1808 1
  100 115  2170 -1
  107 121  2332 -1
  109 129  3973 1
  110 128  2385 -1
  113 121  1069 0
  125 129   943 0
  131 140  1298 0
  147 163  4571 0
  152 157   889 -1
  154 155   278 1
  160 164   915 1
  165 171   724 0
  166 181  2705 1
  167 180  1978 -1
Best profit: 50423
End
