NMec = 97746
T = 39
P = 2
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 5.300e+01
Task data
    4 165 19807 -1
    5  27  2265 -1
    6  14  1664 -1
    7 172 33927 0
    8  20  2712 1
   18  32  3939 -1
   20  26   734 -1
   23  28   752 1
   31  36   832 -1
   33 136 17387 1
   40  42   633 -1
   46  58  2107 -1
   55  82  2702 -1
   77  95  2966 -1
   79  91  1674 -1
   87 103  3703 -1
   87 106  2365 -1
   95 104  1373 -1
  105 131  1856 -1
  108 127  2477 -1
  111 123  1493 -1
  121 125   554 -1
  127 146  3756 -1
  128 141  1950 -1
  129 145  1609 -1
  134 147  1987 -1
  139 143   730 -1
  141 157  3961 1
  153 176  4799 -1
  154 158   692 -1
  159 166  1552 -1
  160 163   347 1
  161 169   887 -1
  166 178  1863 1
  167 190  2331 -1
  171 179  1580 -1
  183 191   765 0
  187 193  1431 -1
  189 190   429 1
Best profit: 62143
End
