NMec = 97746
T = 35
P = 3
Profits not ignored
Valid tasks:                                                          1200000
Solution time = 4.719e+01
Task data
    1 116 10318 -1
    4  26  5672 0
   11  36  3244 -1
   15  25  2014 1
   17  26   846 -1
   19 112  8760 -1
   20  32  1504 -1
   22  40  4650 2
   23  29   714 -1
   24  44  1796 -1
   27  50  6839 0
   31  43  1402 1
   37 110  5161 -1
   48  65  3136 1
   49  58  1558 2
   52  67  2259 -1
   54  70  3126 0
   54  73  3532 -1
   56  77  4266 -1
   59  79  3600 2
   63  71   695 -1
   67  75  1289 1
   67  78  2250 -1
   70  78   873 -1
   71  80  1776 0
   72  74   235 -1
   72  83  1671 -1
   81  93  1102 0
   90 100  1319 1
   90 104  1542 -1
   92 100   874 -1
   94 112  3309 0
   99 116  3137 2
  100 115  3211 -1
  102 116  1321 1
Best profit: 45250
End
