NMec = 2020
T = 60
P = 1
Profits ignored
Valid tasks: 0
Solution time = 3.532e-002
Task data
    0   7     1 0
    4   7     1 -1
    2  10     1 -1
    4  12     1 -1
    9  20     1 0
   24  42     1 0
   31  48     1 -1
   35  48     1 -1
   68  75     1 0
   71  76     1 -1
   62  77     1 -1
   68  82     1 -1
  122 134     1 0
  141 154     1 0
  169 172     1 0
  172 178     1 -1
  196 205     1 0
  204 211     1 -1
  206 213     1 0
  233 247     1 0
  240 251     1 -1
  234 253     1 -1
  249 262     1 0
  268 272     1 0
  260 284     1 -1
  275 286     1 0
  281 289     1 -1
  295 302     1 0
  295 307     1 -1
  152 310     1 -1
  312 317     1 0
  298 324     1 -1
  336 342     1 0
  334 345     1 -1
  335 347     1 -1
  339 348     1 -1
  359 372     1 0
  375 381     1 0
  380 392     1 -1
  388 397     1 0
  395 416     1 -1
  406 421     1 0
  406 423     1 -1
  423 424     1 0
  435 456     1 0
  468 470     1 0
  474 476     1 0
  486 495     1 0
  442 510     1 -1
  505 511     1 0
   29 517     1 -1
  515 524     1 0
  521 531     1 -1
  536 538     1 0
    1 546     1 -1
  529 552     1 -1
  486 575     1 -1
  567 582     1 0
  577 593     1 -1
  581 594     1 -1
Best profit: 29
End
