NMec = 97746
T = 36
P = 3
Profits ignored
Valid tasks:                                                                0
Solution time = 3.046e-06
Task data
    5  11     1 0
   11  17     1 1
    4  21     1 2
   15  22     1 0
   13  26     1 32559
    5  31     1 0
   11  31     1 32559
   16  35     1 0
   31  36     1 0
   16  41     1 1757121464
   23  45     1 1
   21  47     1 32559
   24  48     1 2
   27  48     1 0
   26  49     1 32766
   31  51     1 0
   38  51     1 0
   42  56     1 0
   43  59     1 857726061
   54  59     1 0
   25  60     1 1736415839
   14  61     1 32559
   48  62     1 1
   59  64     1 2
   53  65     1 1
   59  74     1 0
   68  75     1 0
   56  77     1 0
   76  87     1 0
   79  90     1 1
   88 101     1 0
   13 113     1 32766
   28 113     1 0
   91 113     1 1
   99 115     1 2
  109 116     1 0
Best profit: 18
End
