NMec = 97746
T = 35
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 2.955e-06
Task data
    1   6     1 0
    6   7     1 1
    0  11     1 1736415839
    0  11     1 -1
   48  56     1 0
   49  63     1 1
   44  64     1 32583
   57  64     1 0
   61  70     1 0
   44  73     1 -1137752848
   13  78     1 32583
   78  82     1 0
   80  86     1 1
   70  95     1 0
   83  98     1 0
   96 111     1 1
  107 114     1 0
   41 115     1 0
  104 117     1 -508378904
  102 123     1 -507637360
  126 135     1 0
  133 142     1 1
  119 143     1 -1137711765
  131 146     1 0
  130 148     1 32583
  145 150     1 0
  148 154     1 1
  144 155     1 32765
    1 156     1 0
  135 158     1 32765
  150 161     1 -1137714067
  141 162     1 1
   29 164     1 32583
   44 166     1 -1140984696
  166 168     1 0
Best profit: 15
End
