NMec = 97746
T = 39
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 3.086e-06
Task data
    6  14     1 0
    8  20     1 1
   20  26     1 0
    5  27     1 0
   23  28     1 1
   18  32     1 0
   31  36     1 0
   40  42     1 0
   46  58     1 0
   55  82     1 1
   79  91     1 0
   77  95     1 32679
   87 103     1 1
   95 104     1 0
   87 106     1 -2030430992
  111 123     1 0
  121 125     1 1
  108 127     1 0
  105 131     1 32767
   33 136     1 -1
  128 141     1 0
  139 143     1 1
  129 145     1 0
  127 146     1 0
  134 147     1 32679
  141 157     1 32679
  154 158     1 0
  160 163     1 0
    4 165     1 0
  159 166     1 1
  161 169     1 0
    7 172     1 0
  153 176     1 1
  166 178     1 0
  171 179     1 1
  167 190     1 1736415839
  189 190     1 0
  183 191     1 1
  187 193     1 32679
Best profit: 22
End
