NMec = 97746
T = 40
P = 1
Profits ignored
Valid tasks:                                                                0
Solution time = 2.625e-06
Task data
   11  33     1 0
   28  33     1 195
   26  38     1 1565888912
   35  39     1 0
   30  41     1 1736415839
   53  60     1 0
   50  66     1 0
   59  74     1 0
   78  82     1 0
   78  86     1 4
   69  92     1 0
   97 106     1 0
   89 107     1 -1034699667
   90 115     1 32720
  114 117     1 0
  119 128     1 0
  130 146     1 0
  144 154     1 -1
  155 161     1 0
  155 161     1 0
  159 166     1 0
  167 176     1 0
  174 186     1 32720
  188 197     1 0
  191 207     1 1565616836
  123 224     1 0
  217 229     1 0
  221 234     1 0
  228 239     1 32720
  235 247     1 0
  250 259     1 0
  251 267     1 0
  301 324     1 0
   80 330     1 32720
  319 330     1 0
  347 361     1 0
   22 370     1 32767
  380 388     1 0
  387 394     1 0
  394 399     1 0
Best profit: 18
End
