NMec = 97746
T = 36
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 3.006e-06
Task data
    7  15     1 0
   13  15     1 1
   17  22     1 0
   19  24     1 1
   23  25     1 0
   32  39     1 0
   21  40     1 0
   15  42     1 32752
   39  48     1 1
   43  51     1 0
   40  59     1 32752
   56  66     1 0
   54  74     1 1
   61  74     1 -845921144
   59  78     1 0
   78  91     1 0
   83  96     1 1
   84  96     1 0
   82  98     1 4
   87  98     1 0
   97 107     1 0
   91 111     1 -1127876520
   98 113     1 1
  102 114     1 1736415839
   96 115     1 0
   11 121     1 32752
  134 145     1 0
  132 148     1 1
   89 152     1 -842648213
  142 155     1 1
    0 157     1 195
   10 158     1 0
  141 160     1 0
  157 174     1 0
  111 175     1 -842650515
  161 178     1 1
Best profit: 18
End
